,#,Company,Symbol,Weight,Price,Chg,% Chg
165,166,Johnson Controls International plc,JCI,0.13754,64.1,0.0,(0.00%)
166,167,Moody's Corporation,MCO,0.13716,278.82,0.0,(0.00%)
167,168,Motorola Solutions Inc.,MSI,0.132582,257.0,0.37,(0.14%)
168,169,Corteva Inc,CTVA,0.131656,59.38,0.0,(0.00%)
169,170,FedEx Corporation,FDX,0.131419,175.95,0.02,(0.01%)
170,171,Exelon Corporation,EXC,0.131296,43.4,0.36,(0.84%)
171,172,NXP Semiconductors NV,NXPI,0.128665,157.55,-0.12,(-0.08%)
172,173,Autodesk Inc.,ADSK,0.127089,188.7,0.54,(0.29%)
173,174,Aflac Incorporated,AFL,0.126968,71.75,0.0,(0.00%)
174,175,Biogen Inc.,BIIB,0.126633,280.0,0.84,(0.30%)
175,176,Enphase Energy Inc.,ENPH,0.126041,294.0,0.05,(0.02%)
176,177,Realty Income Corporation,O,0.124334,64.41,0.0,(0.00%)
177,178,Ross Stores Inc.,ROST,0.124033,115.48,0.0,(0.00%)
178,179,Marriott International Inc. Class A,MAR,0.123764,148.75,0.17,(0.11%)
179,180,Williams Companies Inc.,WMB,0.123575,33.32,0.0,(0.00%)
180,181,Fidelity National Information Services Inc.,FIS,0.123441,66.92,0.0,(0.00%)
181,182,Arthur J. Gallagher & Co.,AJG,0.123164,188.41,0.0,(0.00%)
182,183,Devon Energy Corporation,DVN,0.122556,62.51,0.0,(0.00%)
183,184,Sysco Corporation,SYY,0.122501,78.09,0.0,(0.00%)
184,185,Trane Technologies plc,TT,0.122349,169.95,0.0,(0.00%)
185,186,L3Harris Technologies Inc,LHX,0.12191,206.24,0.0,(0.00%)
186,187,Chipotle Mexican Grill Inc.,CMG,0.121565,1411.25,-1.11,(-0.08%)
187,188,Cintas Corporation,CTAS,0.121185,456.83,-0.41,(-0.09%)
188,189,Monster Beverage Corporation,MNST,0.120733,100.78,-0.48,(-0.47%)
189,190,Microchip Technology Incorporated,MCHP,0.119871,69.63,-0.3,(-0.43%)
190,191,Xcel Energy Inc.,XEL,0.119744,70.46,-0.47,(-0.66%)
191,192,Simon Property Group Inc.,SPG,0.117969,117.91,0.0,(0.00%)
192,193,IQVIA Holdings Inc,IQV,0.11795,203.84,0.0,(0.00%)
193,194,Constellation Brands Inc. Class A,STZ,0.117171,232.41,0.0,(0.00%)
194,195,Newmont Corporation,NEM,0.117102,47.8,-0.05,(-0.10%)
195,196,Hess Corporation,HES,0.11638,141.68,0.0,(0.00%)
196,197,MSCI Inc. Class A,MSCI,0.116299,463.82,0.0,(0.00%)
197,198,Parker-Hannifin Corporation,PH,0.11566,290.96,0.0,(0.00%)
198,199,Prudential Financial Inc.,PRU,0.114154,99.56,0.0,(0.00%)
199,200,Yum! Brands Inc.,YUM,0.114087,128.9,0.0,(0.00%)
200,201,Allstate Corporation,ALL,0.113974,136.37,0.0,(0.00%)
201,202,TE Connectivity Ltd.,TEL,0.113748,113.95,0.0,(0.00%)
202,203,Paychex Inc.,PAYX,0.112427,116.08,0.07,(0.06%)
203,204,Dow Inc.,DOW,0.112181,50.86,0.0,(0.00%)
204,205,Nucor Corporation,NUE,0.111615,136.08,0.0,(0.00%)
205,206,Ecolab Inc.,ECL,0.109826,144.54,0.0,(0.00%)
206,207,Kinder Morgan Inc Class P,KMI,0.109512,18.17,0.03,(0.17%)
207,208,Carrier Global Corp.,CARR,0.109232,41.79,0.0,(0.00%)
208,209,Charter Communications Inc. Class A,CHTR,0.108699,333.97,0.05,(0.01%)
209,210,PACCAR Inc,PCAR,0.108465,100.91,0.36,(0.36%)
210,211,Hilton Worldwide Holdings Inc,HLT,0.107439,126.43,0.0,(0.00%)
211,212,Hershey Company,HSY,0.107434,235.88,0.0,(0.00%)
212,213,IDEXX Laboratories Inc.,IDXX,0.107057,410.48,-0.1,(-0.02%)
213,214,Capital One Financial Corp,COF,0.106952,90.69,0.0,(0.00%)
214,215,Halliburton Company,HAL,0.106509,39.15,0.06,(0.15%)
215,216,Cummins Inc.,CMI,0.10557,241.26,0.0,(0.00%)
216,217,Consolidated Edison Inc.,ED,0.10551,95.85,0.0,(0.00%)
217,218,DuPont de Nemours Inc.,DD,0.105358,68.73,0.0,(0.00%)
218,219,Ameriprise Financial Inc.,AMP,0.103698,308.27,0.0,(0.00%)
219,220,Otis Worldwide Corporation,OTIS,0.102116,78.36,0.0,(0.00%)
220,221,Bank of New York Mellon Corp,BK,0.101862,44.66,0.01,(0.02%)
221,222,Mettler-Toledo International Inc.,MTD,0.100698,1439.05,0.0,(0.00%)
222,223,Fortinet Inc.,FTNT,0.100161,48.73,0.0,(0.00%)
223,224,Kraft Heinz Company,KHC,0.100101,40.5,-0.02,(-0.05%)
224,225,Electronic Arts Inc.,EA,0.099851,121.56,0.05,(0.04%)
225,226,TransDigm Group Incorporated,TDG,0.099389,620.32,0.0,(0.00%)
226,227,AMETEK Inc.,AME,0.098643,139.38,0.0,(0.00%)
227,228,CoStar Group Inc.,CSGP,0.098163,76.48,-0.41,(-0.53%)
228,229,VICI Properties Inc,VICI,0.096286,32.67,0.0,(0.00%)
229,230,Illumina Inc.,ILMN,0.096226,191.3,0.06,(0.03%)
230,231,Keurig Dr Pepper Inc.,KDP,0.096003,36.55,0.18,(0.49%)
231,232,ResMed Inc.,RMD,0.095721,208.32,0.0,(0.00%)
232,233,Welltower Inc,WELL,0.095273,65.07,0.0,(0.00%)
233,234,Keysight Technologies Inc,KEYS,0.095119,169.83,0.0,(0.00%)
234,235,SBA Communications Corp. Class A,SBAC,0.093965,282.51,0.0,(0.00%)
235,236,Public Service Enterprise Group Inc,PEG,0.093756,61.08,0.0,(0.00%)
236,237,WEC Energy Group Inc,WEC,0.093236,95.48,0.0,(0.00%)
237,238,Arista Networks Inc.,ANET,0.092373,119.24,-0.53,(-0.44%)
238,239,Kroger Co.,KR,0.092125,45.89,0.0,(0.00%)
239,240,PPG Industries Inc.,PPG,0.092114,126.72,0.0,(0.00%)
240,241,Dollar Tree Inc.,DLTR,0.092043,141.5,-0.41,(-0.29%)
241,242,Rockwell Automation Inc.,ROK,0.09157,256.74,0.0,(0.00%)
242,243,Eversource Energy,ES,0.08968,84.23,0.0,(0.00%)
243,244,ONEOK Inc.,OKE,0.089531,65.56,0.0,(0.00%)
244,245,Digital Realty Trust Inc.,DLR,0.089358,100.87,0.0,(0.00%)
245,246,Baker Hughes Company Class A,BKR,0.089339,28.71,-0.39,(-1.34%)
246,247,Cognizant Technology Solutions Corporation Class A,CTSH,0.089318,55.87,-0.15,(-0.27%)
247,248,State Street Corporation,STT,0.089254,77.49,0.0,(0.00%)
248,249,Constellation Energy Corporation,CEG,0.08923,88.0,-0.04,(-0.04%)
249,250,D.R. Horton Inc.,DHI,0.088932,88.4,-0.78,(-0.87%)
250,251,American Water Works Company Inc.,AWK,0.086315,153.02,0.0,(0.00%)
251,252,Walgreens Boots Alliance Inc.,WBA,0.086211,38.65,0.02,(0.05%)
252,253,AmerisourceBergen Corporation,ABC,0.085653,169.31,-0.7,(-0.41%)
253,254,Verisk Analytics Inc,VRSK,0.085275,179.0,3.39,(1.93%)
254,255,Fastenal Company,FAST,0.084561,47.76,0.0,(0.00%)
255,256,ON Semiconductor Corporation,ON,0.083782,62.43,0.04,(0.06%)
256,257,Zimmer Biomet Holdings Inc.,ZBH,0.083133,126.69,0.0,(0.00%)
257,258,Willis Towers Watson Public Limited Company,WTW,0.082877,244.39,0.0,(0.00%)
258,259,Republic Services Inc.,RSG,0.082786,131.24,0.47,(0.36%)
259,260,Albemarle Corporation,ALB,0.082717,226.1,-0.86,(-0.38%)
260,261,Gartner Inc.,IT,0.082527,335.95,0.0,(0.00%)
261,262,Discover Financial Services,DFS,0.082389,97.6,0.0,(0.00%)
262,263,International Flavors & Fragrances Inc.,IFF,0.082299,103.9,0.0,(0.00%)
263,264,Global Payments Inc.,GPN,0.08159,97.14,0.42,(0.43%)
264,265,Old Dominion Freight Line Inc.,ODFL,0.080418,285.78,-0.32,(-0.11%)
265,266,Copart Inc.,CPRT,0.080309,60.51,0.0,(0.00%)
266,267,PG&E Corporation,PCG,0.080237,16.06,0.0,(0.00%)
267,268,M&T Bank Corporation,MTB,0.07917,144.11,-0.45,(-0.31%)
268,269,W.W. Grainger Inc.,GWW,0.079155,565.1,0.0,(0.00%)
269,270,Baxter International Inc.,BAX,0.078375,50.17,0.0,(0.00%)
270,271,T. Rowe Price Group,TROW,0.077412,110.63,-0.49,(-0.44%)
271,272,Genuine Parts Company,GPC,0.0773,176.57,0.0,(0.00%)
272,273,Aptiv PLC,APTV,0.07704,91.26,0.0,(0.00%)
273,274,Edison International,EIX,0.076959,65.18,0.0,(0.00%)
274,275,United Rentals Inc.,URI,0.076418,355.22,0.0,(0.00%)
275,276,Hartford Financial Services Group Inc.,HIG,0.075844,76.13,0.0,(0.00%)
276,277,CBRE Group Inc. Class A,CBRE,0.075643,76.67,0.0,(0.00%)
277,278,HP Inc.,HPQ,0.075544,26.76,0.0,(0.00%)
278,279,CDW Corp.,CDW,0.074543,178.14,0.0,(0.00%)
279,280,Corning Inc,GLW,0.074503,31.89,0.14,(0.44%)
280,281,Equifax Inc.,EFX,0.074301,195.73,0.0,(0.00%)
281,282,Ulta Beauty Inc.,ULTA,0.074104,456.99,0.59,(0.13%)
282,283,Tractor Supply Company,TSCO,0.073631,217.72,0.66,(0.30%)
283,284,Diamondback Energy Inc.,FANG,0.073534,137.1,0.07,(0.05%)
284,285,Arch Capital Group Ltd.,ACGL,0.072634,63.88,0.5,(0.79%)
285,286,Lennar Corporation Class A,LEN,0.072294,90.41,-0.21,(-0.23%)
286,287,Vulcan Materials Company,VMC,0.07227,175.2,0.0,(0.00%)
287,288,Weyerhaeuser Company,WY,0.071785,31.49,0.0,(0.00%)
288,289,Ameren Corporation,AEE,0.071373,89.53,0.0,(0.00%)
289,290,Entergy Corporation,ETR,0.071137,113.43,0.0,(0.00%)
290,291,AvalonBay Communities Inc.,AVB,0.070748,163.03,0.0,(0.00%)
291,292,Fortive Corp.,FTV,0.070675,64.15,0.0,(0.00%)
292,293,FirstEnergy Corp.,FE,0.069978,42.0,0.0,(0.00%)
293,294,DTE Energy Company,DTE,0.069809,118.54,0.0,(0.00%)
294,295,Fifth Third Bancorp,FITB,0.068908,32.45,0.04,(0.12%)
295,296,eBay Inc.,EBAY,0.068634,40.5,0.33,(0.82%)
296,297,First Republic Bank,FRC,0.067797,119.4,0.0,(0.00%)
297,298,Alexandria Real Estate Equities Inc.,ARE,0.067346,147.24,0.0,(0.00%)
298,299,PPL Corporation,PPL,0.066819,29.54,0.0,(0.00%)
299,300,Cardinal Health Inc.,CAH,0.065981,80.05,0.0,(0.00%)
300,301,McCormick & Company Incorporated,MKC,0.065913,84.22,0.0,(0.00%)
301,302,Southwest Airlines Co.,LUV,0.065785,36.0,-0.09,(-0.25%)
302,303,Laboratory Corporation of America Holdings,LH,0.065247,231.65,0.0,(0.00%)
303,304,Delta Air Lines Inc.,DAL,0.064998,33.18,0.02,(0.06%)
304,305,Ingersoll Rand Inc.,IR,0.064982,52.28,0.0,(0.00%)
305,306,Martin Marietta Materials Inc.,MLM,0.064719,339.43,0.84,(0.25%)
306,307,LyondellBasell Industries NV,LYB,0.064557,82.65,-0.48,(-0.58%)
307,308,Nasdaq Inc.,NDAQ,0.064455,61.55,0.27,(0.44%)
308,309,Waters Corporation,WAT,0.064144,346.66,0.0,(0.00%)
309,310,Raymond James Financial Inc.,RJF,0.064015,107.35,0.0,(0.00%)
310,311,ANSYS Inc.,ANSS,0.063773,237.55,0.0,(0.00%)
311,312,Hewlett Packard Enterprise Co.,HPE,0.063303,15.75,0.0,(0.00%)
312,313,Warner Bros. Discovery Inc. Series A,WBD,0.063068,9.14,-0.03,(-0.33%)
313,314,Quanta Services Inc.,PWR,0.062925,144.2,0.0,(0.00%)
314,315,Huntington Bancshares Incorporated,HBAN,0.062166,14.03,-0.02,(-0.14%)
315,316,Equity Residential,EQR,0.062029,59.44,0.0,(0.00%)
316,317,Regions Financial Corporation,RF,0.061785,21.22,0.0,(0.00%)
317,318,Church & Dwight Co. Inc.,CHD,0.06172,82.06,0.0,(0.00%)
318,319,Principal Financial Group Inc.,PFG,0.061342,85.56,0.0,(0.00%)
319,320,Xylem Inc.,XYL,0.061056,109.73,0.0,(0.00%)
320,321,Molina Healthcare Inc.,MOH,0.060735,335.08,0.0,(0.00%)
321,322,Coterra Energy Inc.,CTRA,0.060653,25.2,0.0,(0.00%)
322,323,Extra Space Storage Inc.,EXR,0.060309,146.91,0.0,(0.00%)
323,324,Citizens Financial Group Inc.,CFG,0.05957,38.99,0.09,(0.23%)
324,325,Dover Corporation,DOV,0.059377,134.72,0.0,(0.00%)
325,326,VeriSign Inc.,VRSN,0.059104,203.43,-0.29,(-0.14%)
326,327,CenterPoint Energy Inc.,CNP,0.058927,30.69,0.0,(0.00%)
