,#,Company,Symbol,Weight,Price,Chg,% Chg
405,406,Zebra Technologies Corporation Class A,ZBRA,0.039907,248.22,0.0,(0.00%)
406,407,Interpublic Group of Companies Inc.,IPG,0.039834,33.42,0.0,(0.00%)
407,408,Bio-Techne Corporation,TECH,0.039818,82.73,0.0,(0.00%)
408,409,EQT Corporation,EQT,0.039782,36.21,0.0,(0.00%)
409,410,Lamb Weston Holdings Inc.,LW,0.039631,89.75,0.12,(0.13%)
410,411,Nordson Corporation,NDSN,0.039421,236.32,0.0,(0.00%)
411,412,Expedia Group Inc.,EXPE,0.039327,86.11,-0.32,(-0.37%)
412,413,Domino's Pizza Inc.,DPZ,0.039322,353.02,0.0,(0.00%)
413,414,United Airlines Holdings Inc.,UAL,0.039102,38.4,0.01,(0.03%)
414,415,SVB Financial Group,SIVB,0.039032,216.63,-0.22,(-0.10%)
415,416,International Paper Company,IP,0.038766,34.73,0.0,(0.00%)
416,417,Gen Digital Inc.,GEN,0.038235,21.4,0.1,(0.47%)
417,418,Trimble Inc.,TRMB,0.037799,48.93,0.39,(0.80%)
418,419,Pool Corporation,POOL,0.037692,305.6,0.0,(0.00%)
419,420,Snap-on Incorporated,SNA,0.0375,227.74,0.0,(0.00%)
420,421,Brown-Forman Corporation Class B,BF.B,0.037488,66.35,0.0,(0.00%)
421,422,Packaging Corporation of America,PKG,0.037337,128.7,0.0,(0.00%)
422,423,UDR Inc.,UDR,0.036735,38.75,0.0,(0.00%)
423,424,Camden Property Trust,CPT,0.036424,111.31,0.0,(0.00%)
424,425,Campbell Soup Company,CPB,0.035813,57.28,0.0,(0.00%)
425,426,Teleflex Incorporated,TFX,0.035781,248.81,0.0,(0.00%)
426,427,C.H. Robinson Worldwide Inc.,CHRW,0.035654,92.72,-0.36,(-0.39%)
427,428,Host Hotels & Resorts Inc.,HST,0.035192,16.34,0.0,(0.00%)
428,429,Match Group Inc.,MTCH,0.034896,40.74,0.16,(0.39%)
